TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,GRASIM,2024-01-25,2080.00,CE,0.00,0.00,0.00,101.25,79.10,6650,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1620.00,PE,0.00,0.00,0.00,14.40,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1620.00,CE,0.00,0.00,0.00,272.85,514.45,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1920.00,CE,0.00,0.00,0.00,170.05,235.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1920.00,PE,0.00,0.00,0.00,50.20,7.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2200.00,CE,0.00,0.00,0.00,45.80,51.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2420.00,PE,0.00,0.00,0.00,383.05,273.65,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2100.00,PE,0.00,0.00,0.00,71.85,59.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2100.00,CE,0.00,0.00,0.00,149.55,120.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2440.00,CE,0.00,0.00,0.00,29.30,13.80,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2440.00,PE,0.00,0.00,0.00,549.60,302.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2440.00,CE,3.60,3.60,3.60,3.60,3.60,2850,2850,8,2127.30
2024-01-01,GRASIM,2024-01-25,1680.00,CE,0.00,0.00,0.00,224.25,454.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2040.00,CE,0.00,0.00,0.00,102.80,138.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1880.00,CE,0.00,0.00,0.00,197.35,271.80,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2280.00,PE,0.00,0.00,0.00,262.60,155.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2220.00,CE,0.00,0.00,0.00,41.05,43.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1880.00,PE,0.00,0.00,0.00,95.80,0.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1880.00,PE,0.00,0.00,0.00,15.25,8.30,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2160.00,CE,0.00,0.00,0.00,117.35,88.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1700.00,PE,0.00,0.00,0.00,29.20,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1700.00,PE,0.00,0.00,0.00,7.90,0.15,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2460.00,PE,0.00,0.00,0.00,568.90,322.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2100.00,PE,30.00,44.40,25.40,41.55,41.55,148200,77900,1479,2127.30
2024-01-01,GRASIM,2024-02-29,1940.00,CE,0.00,0.00,0.00,157.35,217.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2020.00,PE,0.00,0.00,0.00,182.05,8.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2380.00,CE,7.15,7.15,6.60,7.05,7.05,8075,1900,6,2127.30
2024-01-01,GRASIM,2024-01-25,2260.00,CE,23.65,36.30,19.50,21.95,21.95,21375,7600,101,2127.30
2024-01-01,GRASIM,2024-01-25,2240.00,PE,0.00,0.00,0.00,362.35,115.25,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2400.00,CE,0.00,0.00,0.00,13.55,8.85,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1740.00,PE,0.00,0.00,0.00,11.80,0.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2180.00,PE,0.00,0.00,0.00,186.60,88.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2180.00,CE,0.00,0.00,0.00,51.10,58.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2020.00,CE,0.00,0.00,0.00,112.50,152.65,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1580.00,CE,0.00,0.00,0.00,307.30,554.30,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1580.00,PE,0.00,0.00,0.00,9.60,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1820.00,PE,0.00,0.00,0.00,8.75,3.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2260.00,CE,0.00,0.00,0.00,75.00,49.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1960.00,CE,0.00,0.00,0.00,145.20,200.55,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1540.00,CE,0.00,0.00,0.00,343.15,594.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2440.00,PE,0.00,0.00,0.00,401.15,292.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2360.00,CE,0.00,0.00,0.00,17.60,13.15,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2340.00,CE,13.00,18.40,9.00,10.10,10.10,19475,5700,177,2127.30
2024-01-01,GRASIM,2024-02-29,2340.00,PE,0.00,0.00,0.00,312.60,203.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2340.00,CE,0.00,0.00,0.00,20.00,15.90,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2340.00,CE,0.00,0.00,0.00,50.40,29.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2360.00,CE,11.00,15.20,7.25,8.15,8.15,26125,-6175,232,2127.30
2024-01-01,GRASIM,2024-02-29,1740.00,CE,0.00,0.00,0.00,308.45,406.50,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2080.00,PE,25.90,36.40,20.15,32.45,32.45,32300,5225,316,2127.30
2024-01-01,GRASIM,2024-03-28,2440.00,PE,0.00,0.00,0.00,285.45,287.55,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2260.00,PE,121.95,123.70,121.95,123.70,131.90,950,950,2,2127.30
2024-01-01,GRASIM,2024-02-29,2260.00,PE,0.00,0.00,0.00,246.60,140.25,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2360.00,PE,0.00,0.00,0.00,329.85,220.25,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1600.00,CE,0.00,0.00,0.00,289.90,534.40,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1920.00,CE,0.00,0.00,0.00,81.30,216.80,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1920.00,CE,0.00,0.00,0.00,275.80,250.80,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1960.00,PE,5.25,10.20,4.75,9.05,9.05,17575,-17575,158,2127.30
2024-01-01,GRASIM,2024-03-28,1860.00,PE,0.00,0.00,0.00,12.75,6.55,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1860.00,CE,0.00,0.00,0.00,211.75,290.50,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1960.00,PE,0.00,0.00,0.00,64.65,12.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1760.00,CE,0.00,0.00,0.00,166.70,375.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2160.00,PE,0.00,0.00,0.00,98.55,86.60,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2140.00,CE,0.00,0.00,0.00,63.15,77.25,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2060.00,PE,17.10,29.50,16.80,26.20,26.20,23275,10925,111,2127.30
2024-01-01,GRASIM,2024-03-28,1940.00,CE,0.00,0.00,0.00,259.80,234.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1940.00,PE,0.00,0.00,0.00,57.15,9.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1940.00,PE,0.00,0.00,0.00,129.30,1.65,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1980.00,PE,0.00,0.00,0.00,72.80,15.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1980.00,CE,0.00,0.00,0.00,59.40,160.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2040.00,CE,0.00,0.00,0.00,186.90,158.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2040.00,PE,15.20,24.00,12.75,20.65,20.65,22800,-2375,92,2127.30
2024-01-01,GRASIM,2024-01-25,1560.00,PE,0.00,0.00,0.00,7.75,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1560.00,CE,0.00,0.00,0.00,325.10,574.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1960.00,CE,0.00,0.00,0.00,244.25,217.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1960.00,CE,0.00,0.00,0.00,170.00,178.60,475,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1880.00,CE,0.00,0.00,0.00,309.00,285.60,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1640.00,CE,0.00,0.00,0.00,256.20,494.55,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1640.00,PE,0.00,0.00,0.00,17.40,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2220.00,CE,0.00,0.00,0.00,13.55,16.65,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2220.00,CE,0.00,0.00,0.00,90.30,62.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2220.00,PE,0.00,0.00,0.00,130.40,120.25,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1800.00,CE,0.00,0.00,0.00,340.00,335.30,950,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1780.00,CE,0.00,0.00,0.00,153.85,355.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1780.00,PE,0.00,0.00,0.00,52.55,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2060.00,PE,0.00,0.00,0.00,111.35,34.60,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2060.00,CE,0.00,0.00,0.00,37.85,93.25,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2100.00,CE,94.00,114.25,78.00,86.70,86.70,73625,3800,459,2127.30
2024-01-01,GRASIM,2024-03-28,2280.00,CE,0.00,0.00,0.00,68.10,43.45,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2280.00,CE,0.00,0.00,0.00,28.90,27.15,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2320.00,PE,0.00,0.00,0.00,435.75,185.80,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2320.00,PE,0.00,0.00,0.00,194.15,189.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2320.00,CE,0.00,0.00,0.00,55.85,33.30,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1660.00,CE,0.00,0.00,0.00,239.95,474.65,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1900.00,CE,0.00,0.00,0.00,231.30,236.30,475,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1900.00,CE,0.00,0.00,0.00,292.20,268.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2380.00,CE,0.00,0.00,0.00,40.90,21.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2020.00,PE,0.00,0.00,0.00,44.15,32.50,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2360.00,PE,0.00,0.00,0.00,473.35,223.85,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2200.00,CE,44.25,57.75,32.65,38.55,38.55,300200,173375,3782,2127.30
2024-01-01,GRASIM,2024-03-28,2200.00,CE,0.00,0.00,0.00,98.75,70.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2260.00,CE,0.00,0.00,0.00,32.55,32.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2320.00,CE,15.75,15.75,11.90,13.20,13.20,950,950,11,2127.30
2024-01-01,GRASIM,2024-01-25,1660.00,PE,0.00,0.00,0.00,20.85,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2360.00,PE,0.00,0.00,0.00,223.10,220.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1820.00,PE,0.00,0.00,0.00,67.95,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2120.00,CE,0.00,0.00,0.00,138.25,108.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2300.00,CE,0.00,0.00,0.00,61.75,38.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2300.00,CE,16.25,25.90,13.00,15.45,15.45,119700,56525,1206,2127.30
2024-01-01,GRASIM,2024-02-29,1720.00,PE,0.00,0.00,0.00,9.70,0.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1720.00,CE,0.00,0.00,0.00,194.45,414.90,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2140.00,CE,68.00,88.00,56.00,64.05,64.05,59375,7125,822,2127.30
2024-01-01,GRASIM,2024-02-29,2460.00,CE,0.00,0.00,0.00,9.00,4.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2000.00,PE,0.00,0.00,0.00,81.50,19.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2180.00,CE,0.00,0.00,0.00,107.80,79.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2180.00,CE,59.00,67.00,40.00,45.95,45.95,64600,64125,743,2127.30
2024-01-01,GRASIM,2024-02-29,1840.00,PE,0.00,0.00,0.00,28.30,2.15,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1840.00,PE,0.00,0.00,0.00,76.60,0.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1840.00,CE,0.00,0.00,0.00,226.70,309.45,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2200.00,PE,0.00,0.00,0.00,119.25,108.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2420.00,PE,0.00,0.00,0.00,269.30,270.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2320.00,PE,0.00,0.00,0.00,295.65,186.65,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2320.00,CE,0.00,0.00,0.00,22.65,19.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2240.00,CE,0.00,0.00,0.00,36.65,37.65,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2240.00,PE,0.00,0.00,0.00,142.15,132.80,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2200.00,PE,0.00,0.00,0.00,200.95,99.90,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1860.00,PE,0.00,0.00,0.00,85.90,0.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1960.00,PE,0.00,0.00,0.00,29.05,19.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1680.00,PE,0.00,0.00,0.00,24.75,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1800.00,PE,0.00,0.00,0.00,0.90,0.05,950,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1780.00,PE,0.00,0.00,0.00,17.15,0.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1740.00,PE,0.00,0.00,0.00,39.75,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2460.00,PE,0.00,0.00,0.00,301.95,305.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2460.00,CE,2.85,6.10,2.85,3.55,3.55,73150,46075,481,2127.30
2024-01-01,GRASIM,2024-01-25,2120.00,CE,79.95,100.00,67.25,73.45,73.45,19950,1425,111,2127.30
2024-01-01,GRASIM,2024-01-25,2120.00,PE,41.20,52.80,31.70,49.15,49.15,16625,0,114,2127.30
2024-01-01,GRASIM,2024-02-29,2300.00,CE,0.00,0.00,0.00,25.60,22.85,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2300.00,PE,0.00,0.00,0.00,180.40,174.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2100.00,CE,0.00,0.00,0.00,77.30,99.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1540.00,PE,0.00,0.00,0.00,6.20,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2120.00,PE,0.00,0.00,0.00,146.55,57.40,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2340.00,PE,189.30,189.30,185.70,185.70,204.65,1425,1425,4,2127.30
2024-01-01,GRASIM,2024-02-29,2160.00,CE,0.00,0.00,0.00,56.85,67.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2000.00,CE,0.00,0.00,0.00,214.65,186.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2160.00,CE,59.25,76.90,46.65,54.30,54.30,126825,30400,1844,2127.30
2024-01-01,GRASIM,2024-01-25,2000.00,CE,175.00,175.00,175.00,175.00,142.15,6650,475,1,2127.30
2024-01-01,GRASIM,2024-02-29,1700.00,CE,0.00,0.00,0.00,343.80,445.90,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1700.00,CE,0.00,0.00,0.00,209.05,434.85,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2420.00,CE,0.00,0.00,0.00,3.10,0.45,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2060.00,PE,0.00,0.00,0.00,56.90,44.50,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2120.00,CE,0.00,0.00,0.00,69.95,87.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2120.00,PE,0.00,0.00,0.00,80.15,67.65,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2340.00,PE,0.00,0.00,0.00,208.35,204.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2360.00,CE,0.00,0.00,0.00,45.50,25.15,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2080.00,PE,0.00,0.00,0.00,64.10,51.50,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1980.00,CE,0.00,0.00,0.00,133.70,183.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1980.00,PE,0.00,0.00,0.00,33.60,23.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2040.00,PE,0.00,0.00,0.00,100.80,28.65,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2040.00,PE,0.00,0.00,0.00,50.25,38.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2040.00,CE,0.00,0.00,0.00,135.90,108.60,475,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1860.00,CE,0.00,0.00,0.00,326.15,303.55,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2400.00,PE,0.00,0.00,0.00,511.30,262.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1880.00,PE,0.00,0.00,0.00,38.20,4.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1880.00,CE,0.00,0.00,0.00,98.85,255.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2280.00,CE,0.00,0.00,0.00,8.90,6.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2280.00,PE,0.00,0.00,0.00,398.75,149.30,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2220.00,PE,96.40,96.45,94.30,94.50,99.50,2375,2375,5,2127.30
2024-01-01,GRASIM,2024-02-29,2220.00,PE,0.00,0.00,0.00,215.85,112.60,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1980.00,CE,0.00,0.00,0.00,229.15,201.90,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2180.00,PE,0.00,0.00,0.00,108.60,97.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2140.00,PE,0.00,0.00,0.00,159.35,66.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2060.00,CE,0.00,0.00,0.00,173.90,144.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2460.00,PE,0.00,0.00,0.00,419.50,310.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2140.00,PE,0.00,0.00,0.00,89.10,76.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1900.00,PE,0.00,0.00,0.00,18.10,10.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1900.00,CE,0.00,0.00,0.00,183.35,253.40,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1820.00,PE,0.00,0.00,0.00,24.10,1.55,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1900.00,PE,0.00,0.00,0.00,43.90,5.45,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2400.00,PE,0.00,0.00,0.00,365.10,255.50,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2400.00,CE,0.00,0.00,0.00,36.65,18.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2020.00,CE,0.00,0.00,0.00,47.60,124.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1840.00,CE,0.00,0.00,0.00,118.90,295.55,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1840.00,CE,0.00,0.00,0.00,343.65,321.80,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2160.00,PE,0.00,0.00,0.00,172.75,76.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1820.00,CE,0.00,0.00,0.00,242.15,328.60,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1820.00,CE,0.00,0.00,0.00,129.90,315.40,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1820.00,CE,0.00,0.00,0.00,361.40,340.30,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1780.00,CE,0.00,0.00,0.00,274.45,367.35,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2080.00,CE,0.00,0.00,0.00,85.25,111.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1740.00,CE,0.00,0.00,0.00,180.30,395.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2140.00,CE,0.00,0.00,0.00,127.50,98.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2380.00,PE,0.00,0.00,0.00,238.15,236.50,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2020.00,PE,0.00,0.00,0.00,90.85,23.45,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2300.00,PE,156.60,157.05,156.60,156.85,156.85,950,950,2,2127.30
2024-01-01,GRASIM,2024-02-29,2300.00,PE,0.00,0.00,0.00,278.95,170.55,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2100.00,PE,0.00,0.00,0.00,134.25,48.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1920.00,PE,0.00,0.00,0.00,117.55,1.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2200.00,PE,75.50,96.70,70.20,94.25,94.25,13775,13300,57,2127.30
2024-01-01,GRASIM,2024-03-28,2420.00,CE,0.00,0.00,0.00,32.80,16.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1980.00,PE,0.00,0.00,0.00,154.60,4.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1860.00,CE,0.00,0.00,0.00,108.55,275.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2000.00,CE,0.00,0.00,0.00,122.80,168.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2440.00,CE,0.00,0.00,0.00,10.35,5.80,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1860.00,PE,0.00,0.00,0.00,32.95,3.00,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2380.00,PE,0.00,0.00,0.00,347.35,237.70,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1800.00,PE,0.00,0.00,0.00,20.40,1.10,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2060.00,CE,0.00,0.00,0.00,93.70,124.25,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2420.00,PE,0.00,0.00,0.00,530.45,282.45,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2420.00,CE,0.00,0.00,0.00,11.85,7.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2260.00,PE,0.00,0.00,0.00,154.40,145.95,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2240.00,CE,30.00,42.50,22.55,27.00,27.00,45125,15675,506,2127.30
2024-01-01,GRASIM,2024-02-29,2240.00,PE,0.00,0.00,0.00,231.10,126.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2240.00,CE,0.00,0.00,0.00,82.40,55.85,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2400.00,PE,0.00,0.00,0.00,253.50,253.15,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2000.00,PE,10.10,15.85,7.75,13.55,13.55,127775,7600,481,2127.30
2024-01-01,GRASIM,2024-02-29,1800.00,CE,0.00,0.00,0.00,258.10,347.90,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,2380.00,CE,0.00,0.00,0.00,15.45,10.80,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2400.00,CE,7.70,10.55,5.00,5.85,5.85,75525,22325,665,2127.30
2024-01-01,GRASIM,2024-03-28,1940.00,PE,0.00,0.00,0.00,24.95,15.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1940.00,CE,0.00,0.00,0.00,73.40,197.55,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1720.00,CE,0.00,0.00,0.00,325.95,426.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1720.00,PE,0.00,0.00,0.00,34.25,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2180.00,PE,59.00,84.25,58.00,80.65,80.65,9025,7600,54,2127.30
2024-01-01,GRASIM,2024-02-29,1760.00,PE,0.00,0.00,0.00,14.30,0.50,0,0,0,2127.30
2024-01-01,GRASIM,2024-02-29,1760.00,CE,0.00,0.00,0.00,291.25,386.90,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1760.00,PE,0.00,0.00,0.00,45.80,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2000.00,PE,0.00,0.00,0.00,38.70,27.45,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2160.00,PE,53.00,72.60,47.40,69.50,69.50,19475,9025,285,2127.30
2024-01-01,GRASIM,2024-01-25,1900.00,PE,2.55,5.55,2.20,5.15,5.15,57475,36575,219,2127.30
2024-01-01,GRASIM,2024-03-28,2020.00,CE,0.00,0.00,0.00,200.45,172.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,2380.00,PE,0.00,0.00,0.00,492.25,243.20,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,2460.00,CE,0.00,0.00,0.00,26.15,11.75,0,0,0,2127.30
2024-01-01,GRASIM,2024-01-25,1600.00,PE,0.00,0.00,0.00,11.85,0.05,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1920.00,PE,0.00,0.00,0.00,21.30,12.85,0,0,0,2127.30
2024-01-01,GRASIM,2024-03-28,1840.00,PE,0.00,0.00,0.00,10.60,5.15,0,0,0,2127.30
